page,device,performance_median,lcp_s_median,cls_median,tbt_ms_median,n_runs,used_auth
bills,desktop,98,0.89,0,0,1,tenant
bills,mobile,87,3.96,0.051,99,1,tenant
explore,desktop,97,0.68,0.099,0,1,none
explore,mobile,99,1.84,0,56,1,none
owner,desktop,98,1.07,0.002,0,1,owner
owner,mobile,85,4.21,0,79,1,owner
signin,desktop,100,0.68,0,0,1,none
signin,mobile,96,2.63,0,105,1,none
tenant,desktop,99,0.8,0.012,0,1,tenant
tenant,mobile,88,3.82,0,109,1,tenant
